Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Margin,Team Differential,Opponent Differential,Game Type
11/10/17,Eastern Kentucky,Away,73,Rice,72,Home,,Win,1,-4.55,-7.52,Division 1
11/10/17,Rice,Home,72,Eastern Kentucky,73,Away,,Loss,-1,-7.52,-4.55,Division 1
11/10/17,Southern Illinois-Edwardsville,Away,74,Purdue,105,Home,,Loss,-31,-8.52,15.50,Division 1
11/10/17,Oral Roberts,Home,86,Avila,72,Away,,Win,14,-5.39,0.00,Non Division 1
11/10/17,Purdue,Home,105,Southern Illinois-Edwardsville,74,Away,,Win,31,15.50,-8.52,Division 1
11/10/17,Seattle,Away,46,Saint Louis,62,Home,,Loss,-16,3.73,0.39,Division 1
11/10/17,Florida Atlantic,Away,59,South Florida,60,Home,,Loss,-1,-0.55,-7.31,Division 1
11/10/17,Saint Louis,Home,62,Seattle,46,Away,,Win,16,0.39,3.73,Division 1
11/10/17,Hampton,Away,75,Rider,90,Home,,Loss,-15,4.12,4.13,Division 1
11/10/17,Rider,Home,90,Hampton,75,Away,,Win,15,4.13,4.12,Division 1
11/10/17,Greensboro,Away,80,North Carolina A&T,104,Home,,Loss,-24,0.00,0.91,Non Division 1
11/10/17,North Carolina A&T,Home,104,Greensboro,80,Away,,Win,24,0.91,0.00,Non Division 1
11/10/17,Murray State,Home,118,Brescia,61,Away,,Win,57,13.39,0.00,Non Division 1
11/10/17,Nebraska-Omaha,Away,80,Montana State,89,Home,,Loss,-9,-6.94,-2.81,Division 1
11/10/17,Brescia,Away,61,Murray State,118,Home,,Loss,-57,0.00,13.39,Non Division 1
11/10/17,Pepperdine,Away,47,Oklahoma State,78,Home,,Loss,-31,-7.28,3.38,Division 1
11/10/17,Avila,Away,72,Oral Roberts,86,Home,,Loss,-14,0.00,-5.39,Non Division 1
11/10/17,Oklahoma State,Home,78,Pepperdine,47,Away,,Win,31,3.38,-7.28,Division 1
11/10/17,Loyola (MD),Away,75,Northwestern,79,Home,,Loss,-4,-5.55,2.38,Division 1
11/10/17,Northwestern,Home,79,Loyola (MD),75,Away,,Win,4,2.38,-5.55,Division 1
11/10/17,Our Lady of the Lake,Away,68,Texas A&M-Corpus Christi,69,Home,,Loss,-1,0.00,-3.24,Non Division 1
11/10/17,Texas A&M-Corpus Christi,Home,69,Our Lady of the Lake,68,Away,,Win,1,-3.24,0.00,Non Division 1
11/10/17,Texas,Home,105,Northwestern State,59,Away,,Win,46,3.52,-13.66,Division 1
11/10/17,Tennessee Tech,Home,94,Midway,56,Away,,Win,38,0.50,0.00,Non Division 1
11/10/17,Northwestern State,Away,59,Texas,105,Home,,Loss,-46,-13.66,3.52,Division 1
11/10/17,Tulane,Home,102,Long Island University,96,Away,,Win,6,-0.87,1.29,Division 1
11/10/17,North Park,Away,46,Valparaiso,88,Home,,Loss,-42,0.00,2.19,Non Division 1
11/10/17,Long Island University,Away,96,Tulane,102,Home,,Loss,-6,1.29,-0.87,Division 1
11/10/17,Nicholls State,Away,111,Texas-Rio Grande Valley,106,Home,,Win,5,7.19,-2.84,Division 1
11/10/17,Texas-Rio Grande Valley,Home,106,Nicholls State,111,Away,,Loss,-5,-2.84,7.19,Division 1
11/10/17,Maryland-Baltimore County,Away,67,Southern Methodist,78,Home,,Loss,-11,4.44,5.42,Division 1
11/10/17,Southern Methodist,Home,78,Maryland-Baltimore County,67,Away,,Win,11,5.42,4.44,Division 1
11/10/17,Southeastern Louisiana,Home,99,Centenary (LA),67,Away,,Win,32,3.82,0.00,Non Division 1
11/10/17,South Florida,Home,60,Florida Atlantic,59,Away,,Win,1,-7.31,-0.55,Division 1
11/10/17,Centenary (LA),Away,67,Southeastern Louisiana,99,Home,,Loss,-32,0.00,3.82,Non Division 1
11/10/17,St. Bonaventure,Home,75,Niagara,77,Away,,Loss,-2,6.91,-0.09,Division 1
11/10/17,Midway,Away,56,Tennessee Tech,94,Home,,Loss,-38,0.00,0.50,Non Division 1
11/10/17,Niagara,Away,77,St. Bonaventure,75,Home,,Win,2,-0.09,6.91,Division 1
11/10/17,Southern Mississippi,Home,79,Southern-New Orleans,69,Away,,Win,10,-1.41,0.00,Non Division 1
11/10/17,Southern-New Orleans,Away,69,Southern Mississippi,79,Home,,Loss,-10,0.00,-1.41,Non Division 1
11/10/17,Montana State,Home,89,Nebraska-Omaha,80,Away,,Win,9,-2.81,-6.94,Division 1
11/10/17,Southern,Away,55,Illinois,102,Home,,Loss,-47,-2.73,2.00,Division 1
11/10/17,Illinois-Chicago,Home,65,North Carolina Central,55,Away,,Win,10,2.34,3.32,Division 1
11/10/17,Illinois,Home,102,Southern,55,Away,,Win,47,2.00,-2.73,Division 1
11/10/17,Houston,Home,81,McNeese State,53,Away,,Win,28,12.26,-0.86,Division 1
11/10/17,McNeese State,Away,53,Houston,81,Home,,Loss,-28,-0.86,12.26,Division 1
11/10/17,Jacksonville State,Home,100,Tennessee Wesleyan,42,Away,,Win,58,6.15,0.00,Non Division 1
11/10/17,Tennessee Wesleyan,Away,42,Jacksonville State,100,Home,,Loss,-58,0.00,6.15,Non Division 1
11/10/17,Southwestern,Away,71,Incarnate Word,87,Home,,Loss,-16,0.00,-6.61,Non Division 1
11/10/17,North Carolina Central,Away,55,Illinois-Chicago,65,Home,,Loss,-10,3.32,2.34,Division 1
11/10/17,Incarnate Word,Home,87,Southwestern,71,Away,,Win,16,-6.61,0.00,Non Division 1
11/10/17,Evansville,Home,77,Arkansas State,63,Away,,Win,14,1.53,-4.81,Division 1
11/10/17,UC-Santa Cruz,Away,65,Fresno State,96,Home,,Loss,-31,0.00,8.36,Non Division 1
11/10/17,Arkansas State,Away,63,Evansville,77,Home,,Loss,-14,-4.81,1.53,Division 1
11/10/17,Colorado,Home,66,Northern Colorado,51,Away,,Win,15,-0.94,7.65,Division 1
11/10/17,Northern Colorado,Away,51,Colorado,66,Home,,Loss,-15,7.65,-0.94,Division 1
11/10/17,High Point,Home,100,William & Mary,66,Away,,Win,34,4.43,3.39,Division 1
11/10/17,William & Mary,Away,66,High Point,100,Home,,Loss,-34,3.39,4.43,Division 1
11/10/17,Hartford,Home,85,Central Connecticut State,84,Away,,Win,1,0.75,-4.30,Division 1
11/10/17,Fresno State,Home,96,UC-Santa Cruz,65,Away,,Win,31,8.36,0.00,Non Division 1
11/10/17,Central Connecticut State,Away,84,Hartford,85,Home,,Loss,-1,-4.30,0.75,Division 1
11/10/17,Wisconsin-La Crosse,Away,73,Milwaukee,83,Home,,Loss,-10,0.00,-0.03,Non Division 1
11/10/17,Minnesota,Home,92,South Carolina Upstate,77,Away,,Win,15,0.00,-9.34,Division 1
11/10/17,Milwaukee,Home,83,Wisconsin-La Crosse,73,Away,,Win,10,-0.03,0.00,Non Division 1
11/10/17,Michigan State,Home,98,North Florida,66,Away,,Win,32,16.18,-6.21,Division 1
11/10/17,North Florida,Away,66,Michigan State,98,Home,,Loss,-32,-6.21,16.18,Division 1
11/10/17,Bucknell,Away,78,Monmouth,79,Home,,Loss,-1,8.29,-1.16,Division 1
11/10/17,Monmouth,Home,79,Bucknell,78,Away,,Win,1,-1.16,8.29,Division 1
11/10/17,Mississippi,Home,94,Louisiana,76,Away,,Win,18,-2.31,13.24,Non Division 1
11/10/17,South Carolina Upstate,Away,77,Minnesota,92,Home,,Loss,-15,-9.34,0.00,Division 1
11/10/17,Louisiana,Away,76,Mississippi,94,Home,,Loss,-18,13.24,-2.31,Non Division 1
11/10/17,Wright State,Away,80,Loyola (IL),84,Home,,Loss,-4,6.44,10.53,Division 1
11/10/17,Marshall,Home,102,Tennessee-Martin,91,Away,,Win,11,5.44,-3.81,Division 1
11/10/17,Loyola (IL),Home,84,Wright State,80,Away,,Win,4,10.53,6.44,Division 1
11/10/17,Alcorn State,Away,59,Louisiana State,99,Home,,Loss,-40,-4.50,3.75,Division 1
11/10/17,Louisiana State,Home,99,Alcorn State,59,Away,,Win,40,3.75,-4.50,Division 1
11/10/17,Gardner-Webb,Away,45,Miami (FL),77,Home,,Loss,-32,-1.42,6.22,Division 1
11/10/17,Miami (FL),Home,77,Gardner-Webb,45,Away,,Win,32,6.22,-1.42,Division 1
11/10/17,Valley Forge,Away,69,Maryland-Eastern Shore,95,Home,,Loss,-26,0.00,-15.03,Non Division 1
11/10/17,Tennessee-Martin,Away,91,Marshall,102,Home,,Loss,-11,-3.81,5.44,Division 1
11/10/17,Maryland-Eastern Shore,Home,95,Valley Forge,69,Away,,Win,26,-15.03,0.00,Non Division 1
11/10/17,Life Pacific,Away,50,Cal State Northridge,76,Home,,Loss,-26,0.00,-7.43,Non Division 1
11/10/17,Idaho,Away,64,Nevada,88,Home,,Loss,-24,6.32,10.21,Division 1
11/10/17,Cal State Northridge,Home,76,Life Pacific,50,Away,,Win,26,-7.43,0.00,Non Division 1
